user_id,company,address,job,type
329537,บริษัท ทองปากน้ำมอเตอร์ จำกัด,"535/96 ถนนพรมอ่อน, บริษัท ทองปากน้ำมอเตอร์ จำกัด",Cloud Architect,workplace
652805,ห้างหุ้นส่วนจำกัด ถนัดกลึง,"244/27 ถ.ธรรมนิยม, ห้างหุ้นส่วนจำกัด ถนัดกลึง",Cloud Architect,workplace
184352,บริษัท นำธวัชและเพื่อน จำกัด,"883/63 ถ.บุญบำรุง, บริษัท นำธวัชและเพื่อน จำกัด",Cloud Architect,workplace
838213,สหภาพแรงงานพานเกล้า,"02/05 ถ.ศาสตร์ศิลป์, สหภาพแรงงานพานเกล้า",นักชีววิทยา,workplace
503297,บริษัท ทรัพย์สารเทรดดิ้ง จำกัด,"35/43 ถนนนะวะมันดร, บริษัท ทรัพย์สารเทรดดิ้ง จำกัด",DevOps Engineer,workplace
969844,หจก.ทองสุกเลิศบริการ,"2 ถ.พรสีมา, หจก.ทองสุกเลิศบริการ",นายแบบ,workplace
350156,บริษัท นพคเชนทร์ จำกัด,"199/1 ถนนภูภักดี, บริษัท นพคเชนทร์ จำกัด",พิธีกร,workplace
141277,ชมรมสันตะวงศ์,"0/8 ซ.พรรษาสกุล, ชมรมสันตะวงศ์",Mobile App Developer,workplace
132273,ห้างหุ้นส่วนจำกัด ตั้งกุลงาม,"18/25 ถนนฉิมพาลี, ห้างหุ้นส่วนจำกัด ตั้งกุลงาม",Mobile App Developer,workplace
415271,บริษัท ธนรักษ์ จำกัด,"13/6 ถนนไทยสุชาต, บริษัท ธนรักษ์ จำกัด",AI Researcher,workplace
881491,สมาคมตันเผ่า,"79 ถ.ขันธุลา, สมาคมตันเผ่า",Mobile App Developer,workplace
864972,ห้างหุ้นส่วนสามัญ ไตรบรรพ,"20 ถ.ทศโยธิน, ห้างหุ้นส่วนสามัญ ไตรบรรพ",AI Researcher,workplace
807448,บริษัท เขียวขุ้ยอินเตอร์เนชั่นแนล จำกัด,"22 หมู่ 31 ถ.ถนอมพลกรัง, บริษัท เขียวขุ้ยอินเตอร์เนชั่นแนล จำกัด",DevOps Engineer,workplace
328684,บริษัท ถนัดอักษร จำกัด,"875/6 ถ.นะวะมันดร, บริษัท ถนัดอักษร จำกัด",Cybersecurity Analyst,workplace
325374,บริษัท ธรรมทินนาคอมพิวเตอร์ จำกัด,"53/73 ถนนนกทอง, บริษัท ธรรมทินนาคอมพิวเตอร์ จำกัด",นักประชาสัมพันธ์,workplace
546625,ห้างหุ้นส่วนสามัญ ติณรัตน์,"2/3 ถนนดิศดใน, ห้างหุ้นส่วนสามัญ ติณรัตน์",DevOps Engineer,workplace
673757,บมจ.แท่นทอง,"58 หมู่ 47 ถนนตั้งรบ, บมจ.แท่นทอง",Cloud Architect,workplace
117595,ห้างหุ้นส่วนจำกัด มิ่งขวัญโอสถ,"4 ถ.ทองอยู่, ห้างหุ้นส่วนจำกัด มิ่งขวัญโอสถ",Cybersecurity Analyst,workplace
477099,บจก.นาควงษ์,"38 หมู่ 52 ถ.มิ่งขวัญ, บจก.นาควงษ์",Full-Stack Developer,workplace
950185,เตมิยะเดชเอ็นจิเนียริ่ง,"95 ถนนยะผา, เตมิยะเดชเอ็นจิเนียริ่ง",Data Scientist,workplace
959970,หสน.เวียงจันทึก,"443/50 ถ.พรสีมา, หสน.เวียงจันทึก",Full-Stack Developer,workplace
754430,บริษัท ธรรมทินนาเอเยนซี จำกัด,"0/5 ถ.ถิรสวัสดิ์, บริษัท ธรรมทินนาเอเยนซี จำกัด",Data Scientist,workplace
864642,บริษัท ธนรักษ์บรรจุภัณฑ์ จำกัด,"925/1 ถนนถนัดอาวุธ, บริษัท ธนรักษ์บรรจุภัณฑ์ จำกัด",Cloud Architect,workplace
527562,บจก.หอมพิกุล,"31 ถนนบุญญาภิรมย์, บจก.หอมพิกุล",นักประดิษฐ์,workplace
664839,ศิวะวรเวทและขอหมั่นกลาง,"088/14 ถนนประจันตะเสน, ศิวะวรเวทและขอหมั่นกลาง",Backend Developer,workplace
658740,ห้างหุ้นส่วนจำกัด ถาวระวรณ์เอนเตอรไพรส์,"61 หมู่ 5 ถนนเลิศกิ่ง, ห้างหุ้นส่วนจำกัด ถาวระวรณ์เอนเตอรไพรส์",DevOps Engineer,workplace
315601,บริษัท วะคีมัน จำกัด (มหาชน),"7/8 ซ.ขันธุลา, บริษัท วะคีมัน จำกัด (มหาชน)",นักสังคมศาสตร์,workplace
675687,นพคเชนทร์เคมิคอล,"455 ถนนตรีเภรินทร์, นพคเชนทร์เคมิคอล",Software Engineer,workplace
587632,ห้างหุ้นส่วนสามัญ นาคะนคร,"43/3 ถนนถะเกิงชศ, ห้างหุ้นส่วนสามัญ นาคะนคร",ค้าขาย,workplace
225855,เนตร์มณีเคมิคอล,"735/60 ถ.ธนประทีป, เนตร์มณีเคมิคอล",Full-Stack Developer,workplace
780660,บริษัท วาทา จำกัด,"48/0 ถนนนพตระกูล, บริษัท วาทา จำกัด",DevOps Engineer,workplace
866909,บริษัท ตันเผ่า จำกัด,"62 หมู่ 6 ถ.พรรษาสกุล, บริษัท ตันเผ่า จำกัด",DevOps Engineer,workplace
784515,บริษัท ตันยาจิวเวลรี่ จำกัด (มหาชน),"35/00 ถ.ไทนิยม, บริษัท ตันยาจิวเวลรี่ จำกัด (มหาชน)",Mobile App Developer,workplace
673947,ประจันตะเสนการช่าง,"295/7 ซ.พรรษาสกุล, ประจันตะเสนการช่าง",Cloud Architect,workplace
335853,บริษัท แก้วชลครามคอมพิวเตอร์ จำกัด (มหาชน),"744/86 ถนนทองอยู่, บริษัท แก้วชลครามคอมพิวเตอร์ จำกัด (มหาชน)",Data Scientist,workplace
785203,นามขำ-ถนิมมาศ,"230 ถ.คำลือ, นามขำ-ถนิมมาศ",นักวิทยาศาสตร์,workplace
222603,บริษัท ฉายแสงอะไหล่ยนต์ จำกัด (มหาชน),"7 ถนนธัญเสถียร, บริษัท ฉายแสงอะไหล่ยนต์ จำกัด (มหาชน)",Software Engineer,workplace
167017,มูลนิธิธีวร,"36 หมู่ 0 ถ.วาทา, มูลนิธิธีวร",AI Researcher,workplace
576975,ห้างหุ้นส่วนสามัญ นาคสุทิน,"88/85 ถ.ปรีชากุลเศรษฐ์, ห้างหุ้นส่วนสามัญ นาคสุทิน",AI Researcher,workplace
541101,บริษัท โพธิสัตย์ จำกัด,"551/59 ถนนธูปหอม, บริษัท โพธิสัตย์ จำกัด",Cloud Architect,workplace
795462,ห้างหุ้นส่วนจำกัด ทรงโกมล,"75/2 ถนนทรัพย์สาร, ห้างหุ้นส่วนจำกัด ทรงโกมล",AI Researcher,workplace
791038,บริษัท วาทา จำกัด,"2/0 ถ.หิรัญสาลี, บริษัท วาทา จำกัด",นักประดิษฐ์,workplace
211613,บมจ.ยาปะโลหิตอะไหล่ยนต์,"6 ถนนจันอ้น, บมจ.ยาปะโลหิตอะไหล่ยนต์",นักจัดรายการวิทยุ,workplace
741156,ห้างหุ้นส่วนจำกัด นพตระกูลมอเตอร์,"59/07 ถ.ดำริห์ชอบ, ห้างหุ้นส่วนจำกัด นพตระกูลมอเตอร์",Mobile App Developer,workplace
800302,บริษัท บุญญาไลย์ จำกัด,"19 หมู่ 94 ถ.เจริญรัมย์, บริษัท บุญญาไลย์ จำกัด",นักสิทธิมนุษยชน,workplace
457314,บริษัท เมืองสุขกลการ จำกัด,"89 หมู่ 4 ถนนหนักแน่น, บริษัท เมืองสุขกลการ จำกัด",นักชีววิทยา,workplace
310613,สหภาพแรงงานประจันตะเสน,"411/1 ถนนศรีเผด็จ, สหภาพแรงงานประจันตะเสน",Full-Stack Developer,workplace
501264,บมจ.บุญญาไลย์,"678/72 ถนนบุญญาไลย์, บมจ.บุญญาไลย์",Software Engineer,workplace
447142,หจก.นุตตารการบัญชี,"49 ถ.ดาบเงิน, หจก.นุตตารการบัญชี",นักธุรกิจ,workplace
168428,ทวนไชย์วิศวกรรม,"48 หมู่ 24 ถ.บุญส่ง, ทวนไชย์วิศวกรรม",Cybersecurity Analyst,workplace
494825,บริษัท ประจันตะเสน จำกัด,"570 ถ.ทศโยธิน, บริษัท ประจันตะเสน จำกัด",Mobile App Developer,workplace
583988,บจก.ธรรมทินนาคอมมิวนิเคชั่น,"746/20 ถนนทรัพย์สาร, บจก.ธรรมทินนาคอมมิวนิเคชั่น",Software Engineer,workplace
941881,บจก.ดาบเพ็ชร์,"883 ซ.ถนัดรบ, บจก.ดาบเพ็ชร์",ข้าราชการ,workplace
994928,บจก.ทองสีไพล,"171/55 ถ.คำลือ, บจก.ทองสีไพล",DevOps Engineer,workplace
762974,ธีวร-นวลเพ็ง,"71 ถนนทันยุค, ธีวร-นวลเพ็ง",Data Scientist,workplace
355789,มูลนิธิทรงโกมล,"60 ถ.ฉัพพรรณธนกูร, มูลนิธิทรงโกมล",Mobile App Developer,workplace
206899,บริษัท เตมิยะเดช จำกัด,"6/9 ถนนดาวกระจาย, บริษัท เตมิยะเดช จำกัด",Full-Stack Developer,workplace
760801,หจก.ถาวรรัตนเคมิคอล,"588 ถนนตันตราจิณ, หจก.ถาวรรัตนเคมิคอล",Cloud Architect,workplace
600694,บริษัท ศรทองเอนเตอรไพรส์ จำกัด,"5/6 ถ.ทันยุค, บริษัท ศรทองเอนเตอรไพรส์ จำกัด",Data Scientist,workplace
817517,นามขำบริการ,"87 หมู่ 5 ถนนนวลเพ็ง, นามขำบริการ",AI Researcher,workplace
542528,หจก.ดาบเพ็ชร์การช่าง,"75 หมู่ 9 ถนนบุญบำรุง, หจก.ดาบเพ็ชร์การช่าง",Data Scientist,workplace
328594,บริษัท ถนัดกลึง จำกัด,"10/22 ซ.ตันเผ่า, บริษัท ถนัดกลึง จำกัด",Software Engineer,workplace
218570,ห้างหุ้นส่วนสามัญ เตชะกำพุ,"6/6 ถ.ตัณสถิตย์, ห้างหุ้นส่วนสามัญ เตชะกำพุ",Full-Stack Developer,workplace
686026,ห้างหุ้นส่วนสามัญ ทองลาภ,"41/01 ถนนดีตพันธุ์, ห้างหุ้นส่วนสามัญ ทองลาภ",Software Engineer,workplace
795583,บริษัท ทองสินธุ์คอมมิวนิเคชั่น จำกัด,"96 หมู่ 07 ถนนตวงทอง, บริษัท ทองสินธุ์คอมมิวนิเคชั่น จำกัด",บรรณาธิการ,workplace
468449,ห้างหุ้นส่วนจำกัด ชุมวระแพคกิ้ง,"093 ถ.เนื้อนุ่ม, ห้างหุ้นส่วนจำกัด ชุมวระแพคกิ้ง",AI Researcher,workplace
382369,สมาคมทีฆะ,"9 ถนนน้ำทิพย์, สมาคมทีฆะ",Software Engineer,workplace
